Total population,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,3280000.0,3280000.0,3323519.0,3448982.0,3625022.0,3810047.0,3973968.0,4169690.0,4419695.0,4710171.0,5021241.0,5351413.0,5813814.0,6394908.0,7034081.0,7752118.0,7839426.0,7934798.0,8038312.0,8150037.0,8270024.0,8398309.0,8534913.0,8679848.0,8833127.0,8994793.0,9164945.0,9343772.0,9531555.0,9728645.0,9935358.0,10148841.0,10368600.0,10599790.0,10849510.0,11121097.0,11412821.0,11716896.0,12022514.0,12315553.0,12582954.0,12831361.0,13056499.0,13222547.0,13283279.0,13211412.0,12996923.0,12667001.0,12279095.0,11912510.0,11630498.0,11438949.0,11337932.0,11375768.0,11608351.0,12067570.0,12789374.0,13745630.0,14824371.0,15869967.0,16772522.0,17481800.0,18034130.0,18511480.0,19038420.0,19701940.0,20531160.0,21487079.0,22507368.0,23499850.0,24399948.0,25183615.0,25877544.0,26528741.0,27207291.0,27962207.0,28809167.0,29726803.0,30682500.0,31627506.0,32526562.0
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,10661.0,10737.0,10813.0,10889.0,10966.0,11043.0,11121.0,11200.0,11279.0,11358.0,11439.0,11519.0,11601.0,11683.0,11765.0,11848.0,11932.0,12016.0,12101.0,12187.0,12273.0,12359.0,12447.0,12535.0,12623.0,12712.0,12802.0,12892.0,12983.0,13075.0,13167.0,13260.0,13354.0,13448.0,13543.0,13639.0,13735.0,13832.0,13930.0,14028.0,14127.0,14227.0,14328.0,14429.0,14531.0,14633.0,14737.0,14841.0,14946.0,15051.0,15157.0,15264.0,15372.0,15481.0,15590.0,15700.0,15700.0,15700.0,15700.0,,,,,,,
Albania,410445.0,423591.0,438671.0,457234.0,478227.0,506889.0,552800.0,610036.0,672544.0,741688.0,819950.0,901122.0,963956.0,1015991.0,1123210.0,1263171.0,1287499.0,1316086.0,1348097.0,1382881.0,1419969.0,1459089.0,1500152.0,1543224.0,1588478.0,1636054.0,1685901.0,1737645.0,1790533.0,1843596.0,1896125.0,1947786.0,1998695.0,2049147.0,2099657.0,2150602.0,2202040.0,2253842.0,2305999.0,2358467.0,2411229.0,2464338.0,2517869.0,2571845.0,2626290.0,2681245.0,2735329.0,2788315.0,2842620.0,2901590.0,2966799.0,3041003.0,3121336.0,3197064.0,3253659.0,3281453.0,3275438.0,3240613.0,3189623.0,3140634.0,3106727.0,3092034.0,3092471.0,3102898.0,3114851.0,3121965.0,3124093.0,3123112.0,3117045.0,3103758.0,3082172.0,3050741.0,3010849.0,2968026.0,2929886.0,2901883.0,2886010.0,2880667.0,2883281.0,2889676.0,2896679.0
Algeria,2503218.0,2595056.0,2713079.0,2880355.0,3082721.0,3299305.0,3536468.0,3811028.0,4143163.0,4525691.0,4946166.0,5404045.0,6063800.0,6876190.0,7797418.0,8872247.0,9039913.0,9216395.0,9405445.0,9609507.0,9829717.0,10065829.0,10316288.0,10578453.0,10848971.0,11124892.0,11404859.0,11690152.0,11985130.0,12295973.0,12626953.0,12980269.0,13354197.0,13744383.0,14144437.0,14550033.0,14960111.0,15377095.0,15804428.0,16247113.0,16709098.0,17190236.0,17690184.0,18212331.0,18760761.0,19337723.0,19943667.0,20575701.0,21228288.0,21893857.0,22565908.0,23241276.0,23917889.0,24591493.0,25257671.0,25912364.0,26554277.0,27180921.0,27785977.0,28362015.0,28904300.0,29411839.0,29887717.0,30336880.0,30766551.0,31183658.0,31590320.0,31990387.0,32394886.0,32817225.0,33267887.0,33749328.0,34261971.0,34811059.0,35401790.0,36036159.0,36717132.0,37439427.0,38186135.0,38934334.0,39666519.0
American Samoa,8170.0,8156.0,8142.0,8128.0,8114.0,7958.0,7564.0,7057.0,6582.0,6139.0,5949.0,7047.0,8173.0,10081.0,13135.0,18937.0,19295.0,19543.0,19683.0,19729.0,19706.0,19647.0,19597.0,19606.0,19729.0,20012.0,20478.0,21118.0,21883.0,22701.0,23518.0,24320.0,25116.0,25886.0,26615.0,27292.0,27916.0,28490.0,29014.0,29491.0,29932.0,30325.0,30690.0,31105.0,31670.0,32456.0,33488.0,34740.0,36165.0,37687.0,39247.0,40835.0,42448.0,44049.0,45591.0,47044.0,48379.0,49597.0,50725.0,51807.0,52874.0,53926.0,54942.0,55899.0,56768.0,57522.0,58176.0,58729.0,59117.0,59262.0,59117.0,58648.0,57904.0,57031.0,56226.0,55636.0,55316.0,55227.0,55302.0,55434.0,55538.0
Andorra,2654.0,2654.0,2700.0,2835.0,3026.0,3230.0,3436.0,3654.0,3885.0,4131.0,4393.0,4671.0,4974.0,5309.0,5667.0,6197.0,6692.0,7250.0,7863.0,8526.0,9235.0,9987.0,10781.0,11616.0,12494.0,13414.0,14376.0,15376.0,16410.0,17470.0,18551.0,19646.0,20755.0,21888.0,23061.0,24279.0,25560.0,26892.0,28231.0,29514.0,30706.0,31781.0,32769.0,33746.0,34819.0,36063.0,37502.0,39112.0,40862.0,42704.0,44597.0,46515.0,48458.0,50431.0,52449.0,54511.0,56674.0,58904.0,61003.0,62707.0,63854.0,64291.0,64147.0,63888.0,64161.0,65399.0,67770.0,71046.0,74783.0,78337.0,81223.0,83373.0,84878.0,85616.0,85474.0,84419.0,82326.0,79316.0,75902.0,72786.0,70473.0
Angola,1567028.0,1567028.0,1597530.0,1686390.0,1813100.0,1949329.0,2110747.0,2285417.0,2473597.0,2677047.0,2898155.0,3136718.0,3387663.0,3642200.0,3920011.0,4354882.0,4439705.0,4529381.0,4621691.0,4714970.0,4808114.0,4900594.0,4992439.0,5084166.0,5176662.0,5270844.0,5367287.0,5465905.0,5565808.0,5665701.0,5765025.0,5863568.0,5962831.0,6066094.0,6177703.0,6300969.0,6437645.0,6587647.0,6750215.0,6923749.0,7107334.0,7299508.0,7501320.0,7717139.0,7952882.0,8211950.0,8497950.0,8807511.0,9128655.0,9444918.0,9745209.0,10023700.0,10285712.0,10544904.0,10820992.0,11127870.0,11472173.0,11848971.0,12246786.0,12648483.0,13042666.0,13424813.0,13801868.0,14187710.0,14601983.0,15058638.0,15562791.0,16109696.0,16691395.0,17295500.0,17912942.0,18541467.0,19183907.0,19842251.0,20520103.0,21219954.0,21942296.0,22685632.0,23448202.0,24227524.0,25021974.0
Anguilla,2025.0,2025.0,2064.0,2177.0,2338.0,2511.0,2693.0,2888.0,3097.0,3320.0,3561.0,3818.0,4097.0,4400.0,4725.0,5121.0,5297.0,5438.0,5549.0,5635.0,5697.0,5743.0,5777.0,5805.0,5831.0,5863.0,5901.0,5948.0,6001.0,6057.0,6114.0,6171.0,6228.0,6287.0,6344.0,6400.0,6454.0,6506.0,6554.0,6596.0,6630.0,6661.0,6691.0,6712.0,6715.0,6698.0,6652.0,6587.0,6537.0,6551.0,6662.0,6883.0,7198.0,7576.0,7966.0,8334.0,8668.0,8979.0,9266.0,9540.0,9807.0,10063.0,10305.0,10545.0,10797.0,11071.0,11371.0,11693.0,12023.0,12342.0,12637.0,12903.0,13145.0,13365.0,13571.0,13768.0,13956.0,14133.0,14300.0,14460.0,14614.0
